,0
0,unfortunately ability actually know receiving call rather important feature phone pitiful respect
1,excellent product satisfied purchase
2,first charge kept going dead minute
3,worst customer service ever
4,great jawbone
5,work described
6,mine year christmas bought rest family
7,infuriating
8,well designed sharp blue nice color
9,gave star sound quality
10,far good
11,loudspeaker option great bumper light appealing
12,like loud buzzing override conversation phone
13,good bargain
14,reaching bottom row uncomfortable send end key expect
15,sweetest phone
16,really nothing bad say headset
17,easy pair samsung cell
18,perfect p
19,however year fliptop started get loose wobbly eventually screen went black receive place call
20,unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc
21,phone load super
22,handsfree part work fine car try download address book treo reboots overall still rate device high
23,product cover important light sensor ear outlet
24,bought use kindle fire absolutely loved
25,nice headphone price work great
26,reversible plug work great
27,doe work listening music cingular
28,love able use one headset land line cell
29,hate earbugs avoid phone mean
30,prompt service
31,good phone
32,never got
33,might gotten defect would risk buying built quality alone
34,good case excellent value
35,glad found product amazon hard find high priced
36,phone work great
37,majority logitech earbud headset failed
38,love phone
39,awkward use unreliable
40,nearly year ha worked great
41,sound clear people talk amazed quality
42,great hand free device
43,worst phone ever month
44,would take long describe bad customer service experience ha amazon
45,store anything phone number sim
46,advise everyone fooled
47,simple little phone use breakage unacceptible
48,great price
49,simply want small flip phone look elsewhere extra bell whistle mediocre
50,week far good
51,even dropped phone stream wa submerged second still work great
52,ear occupied background distracting
53,camera color balance awful
54,hold charge long time reasonably comfortable long wearing condition quality sound tremendous
55,ha winner u
56,work europe asia
57,light easy use ha clear reception transmission
58,cutout button placed perfectly
59,wish could return unit get back money
60,worst piece crap ever along verizon customer service
61,leather nice soft fit tight cut face good shape
62,jerk phone
63,case wa le extra originally put later discarded scratched ear
64,happy product
65,year battery went completely dead headset
66,sorry made purchase
67,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening
68,recently problem could stay connected minute disconnected
69,audio quality poor poor
70,also phone dropped case going save specially dropped face
71,phone year tell great
72,user friendly
73,buy different phone
